Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-05-23,INFY,EQ,1193.85,1195.0,1207.65,1181.5,1182.95,1184.9,1198.4,4769221,571543318390000.0,155510,3565469,0.7476
2018-05-24,INFY,EQ,1184.9,1198.0,1227.55,1198.0,1220.0,1221.0,1217.23,4870285,592823618995000.0,115622,2635888,0.5412
2018-05-25,INFY,EQ,1221.0,1230.1,1248.65,1220.8,1229.55,1228.3,1239.09,4450719,551486130764999.94,165203,2833196,0.6365999999999999
2018-05-28,INFY,EQ,1228.3,1231.0,1232.6,1206.0,1212.1,1214.4,1218.07,2869897,349573464905000.0,114363,1860121,0.6481
2018-05-29,INFY,EQ,1214.4,1214.05,1226.55,1206.2,1219.9,1216.7,1214.01,1694467,205710721810000.0,97963,1020909,0.6025
2018-05-30,INFY,EQ,1216.7,1217.0,1228.75,1205.6,1210.4,1211.7,1214.64,3161533,384010918200000.0,113600,1820341,0.5758
2018-05-31,INFY,EQ,1211.7,1211.7,1242.0,1210.25,1238.0,1231.8,1230.2,9860170,1212996828930000.0,163732,6917924,0.7016
2018-06-01,INFY,EQ,1231.8,1230.4,1246.25,1217.2,1222.2,1220.8,1229.79,2499178,307346673070000.0,81969,1396541,0.5588000000000001
2018-06-04,INFY,EQ,1220.8,1221.1,1243.0,1212.0,1241.0,1239.4,1233.14,2135078,263284847410000.0,69180,1356014,0.6351
2018-06-05,INFY,EQ,1239.4,1242.0,1242.0,1217.0,1218.85,1220.85,1226.49,2355431,288892417160000.0,85171,1469405,0.6238
2018-06-06,INFY,EQ,1220.85,1225.2,1241.55,1220.05,1238.1,1237.45,1234.18,2019092,249192986955000.03,98002,1157667,0.5734
2018-06-07,INFY,EQ,1237.45,1238.0,1258.0,1238.0,1249.3,1252.45,1252.57,3338113,418121025215000.0,106204,1876344,0.5621
2018-06-08,INFY,EQ,1252.45,1248.0,1262.0,1246.05,1258.8,1260.05,1257.48,3229939,406157469205000.0,146437,2152796,0.6665000000000001
2018-06-11,INFY,EQ,1260.05,1265.55,1270.0,1255.05,1261.0,1262.4,1262.71,2585645,326492342100000.0,94087,1883057,0.7283
2018-06-12,INFY,EQ,1262.4,1265.75,1271.25,1250.45,1259.0,1258.5,1258.01,3919910,493130015635000.06,90357,2684852,0.6849
2018-06-13,INFY,EQ,1258.5,1266.8,1284.0,1266.8,1275.0,1274.8,1275.2,2883464,367698207380000.0,110178,1736971,0.6024
2018-06-14,INFY,EQ,1274.8,1253.0,1253.0,1234.1,1240.0,1239.7,1242.78,3799424,472184371085000.06,142371,2234217,0.588
2018-06-15,INFY,EQ,1239.7,1237.0,1291.5,1235.0,1288.8,1281.25,1267.1,9978880,1264428528380000.0,156513,7198132,0.7212999999999999
2018-06-18,INFY,EQ,1281.25,1284.0,1291.25,1262.35,1264.5,1267.4,1273.18,4107423,522949947064999.94,127326,2705510,0.6587000000000001
2018-06-19,INFY,EQ,1267.4,1263.0,1263.4,1238.05,1242.0,1241.6,1244.36,3772850,469478685410000.06,148052,2625680,0.6959000000000001
2018-06-20,INFY,EQ,1241.6,1248.5,1252.35,1238.0,1241.45,1243.15,1245.07,2685901,334414000385000.0,92693,1763850,0.6567000000000001
2018-06-21,INFY,EQ,1243.15,1245.95,1256.5,1236.0,1246.55,1246.55,1247.63,2899395,361738365080000.0,138481,1939037,0.6688
2018-06-22,INFY,EQ,1246.55,1243.0,1255.5,1241.2,1246.4,1247.85,1249.94,2171559,271431266980000.03,91644,1545127,0.7115
2018-06-25,INFY,EQ,1247.85,1257.15,1278.8,1254.0,1269.7,1272.45,1271.05,3865589,491336382980000.0,137153,2105988,0.5448
2018-06-26,INFY,EQ,1272.45,1269.0,1283.9,1266.25,1280.05,1277.85,1277.24,2241752,286325890705000.0,102746,1303651,0.5815
2018-06-27,INFY,EQ,1277.85,1283.95,1293.45,1265.6,1271.5,1270.0,1281.92,3476071,445604939289999.94,107138,2254625,0.6486
2018-06-28,INFY,EQ,1270.0,1276.3,1298.0,1276.25,1284.3,1289.6,1290.08,5498409,709338005890000.0,159341,2847254,0.5178
2018-06-29,INFY,EQ,1289.6,1298.05,1315.0,1283.25,1310.65,1307.2,1298.31,4983300,646989105000000.0,164216,3050563,0.6122
2018-07-02,INFY,EQ,1307.2,1314.0,1340.0,1314.0,1337.8,1334.7,1325.09,2415072,320019581350000.0,80512,1157363,0.4792
2018-07-03,INFY,EQ,1334.7,1331.9,1357.9,1331.75,1355.5,1353.75,1347.06,4063726,547410184885000.06,140810,2374717,0.5844
2018-07-04,INFY,EQ,1353.75,1352.05,1352.65,1338.85,1348.4,1345.2,1345.49,2512861,338102380465000.0,156409,1610582,0.6409
2018-07-05,INFY,EQ,1345.2,1347.1,1347.25,1268.1,1286.5,1284.0,1290.51,8509951,1098214428860000.0,274864,4498851,0.5287
2018-07-06,INFY,EQ,1284.0,1290.25,1301.85,1269.0,1285.15,1284.25,1281.04,5607678,718368302200000.0,181138,3185846,0.5681
2018-07-09,INFY,EQ,1284.25,1297.0,1303.0,1279.05,1301.2,1298.85,1294.01,3322499,429934043535000.06,95341,1941581,0.5844
